,Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
0,2018,229,City of Albany - (IL),M,Municipal,,X,,,,,,,,,,,,X,
1,2018,366,City of Allendale- (IL),M,Municipal,,X,,,,,,,,,,,,X,
2,2018,406,City of Altamont - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
3,2018,1325,City of Batavia - (IL),M,Municipal,,,X,,X,,,,,,X,,X,X,X
4,2018,1648,Village of Bethany - (IL),M,Municipal,,X,,,,,,,,,,,,X,
5,2018,2188,City of Breese - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
6,2018,2634,City of Bushnell - (IL),M,Municipal,,X,,,,,,,,,,,,X,
7,2018,3037,City of Carlyle - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
8,2018,3040,City of Carmi - (IL),M,Municipal,,X,,,,,,,,,,,,X,
9,2018,3153,City of Casey - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
10,2018,3405,Village of Chatham - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
11,2018,5585,Eastern Illinois Elec Coop,C,Cooperative,,,X,,X,,X,,X,,X,X,X,X,X
12,2018,6141,City of Fairfield- (IL),M,Municipal,,X,,,,,,,,,,,,X,
13,2018,6192,City of Farmer City - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
14,2018,6417,City of Flora - (IL),M,Municipal,,,X,,X,,,,,,X,X,X,X,X
15,2018,6764,Village of Freeburg - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
16,2018,7095,City of Geneseo - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
17,2018,7096,City of Geneva- (IL),M,Municipal,,,X,,X,X,,,X,,X,X,X,X,X
18,2018,7633,Village of Greenup - (IL),M,Municipal,,X,,,,,,,,,,,,X,
19,2018,8620,"HILCO Electric Cooperative, Inc.",C,Cooperative,,,X,,X,,X,,X,,X,X,X,X,X
20,2018,9209,Illinois Rural Electric Coop,C,Cooperative,,,X,X,X,,,,,,X,X,X,X,X
21,2018,9286,Illinois Municipal Elec Agency,A,Municipal Mktg Authority,,,,,,,X,,,,X,,,,X
22,2018,11736,City of Marshall - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
23,2018,11790,City of Mascoutah - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
24,2018,12167,City of McLeansboro - (IL),M,Municipal,,X,,,,,,,,,,,,X,
25,2018,12388,City of Metropolis - (IL),M,Municipal,,X,,,,,,,,,,,,X,
26,2018,13208,City of Naperville - (IL),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
27,2018,13560,City of Newton - (IL),M,Municipal,,X,,,,,,,,,,,,X,
28,2018,13993,City of Oglesby - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
29,2018,14840,City of Peru - (IL),M,Municipal,,,X,,X,,,,,,X,,X,X,X
30,2018,15388,City of Princeton - (IL),M,Municipal,,,X,,X,,,,,,X,,X,X,X
31,2018,15686,Village of Rantoul - (IL),M,Municipal,,,X,,X,,,,,,X,,X,X,X
32,2018,15772,City of Red Bud - (IL),M,Municipal,,X,,,,,,,,,,,,X,
33,2018,16092,Village of Riverton - (IL),M,Municipal,,X,,,,,,,,,,,,X,
34,2018,16198,City of Rock Falls - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
35,2018,16269,City of Roodhouse - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
36,2018,17585,"Southeastern IL Elec Coop, Inc",C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
37,2018,17631,Southern Illinois Elec Coop,C,Cooperative,,,X,,X,,,,X,X,X,X,X,X,X
38,2018,17632,Southern Illinois Power Coop,C,Cooperative,,,,,,,,,,,X,,,,X
39,2018,17697,Southwestern Electric Coop Inc - (IL),C,Cooperative,,,X,,X,,,,,X,X,X,X,X,X
40,2018,17828,City of Springfield - (IL),M,Municipal,,,X,,X,,X,,X,,X,X,X,X,X
41,2018,17860,City of St Charles - (IL),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
42,2018,18277,City of Sullivan - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
43,2018,20180,City of Waterloo - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
44,2018,20824,Village of Winnetka - (IL),M,Municipal,,,X,,X,,,,X,,X,X,X,X,X
45,2018,29296,Western Illinois Elec Coop,C,Cooperative,,X,X,,,,,,,,,,,X,
46,2018,40367,Village of Ladd - (IL),M,Municipal,,X,X,,,,,,,,,,,X,
47,2018,56697,Ameren Illinois Company,I,Investor Owned,X,,X,,X,X,X,,X,X,X,X,X,X,X
48,2018,57488,"XOOM Energy Illinois, LLC",R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
49,2018,58314,"Palmco Power IL, LLC",R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
50,2018,59958,"Mega Energy of Illinois, LLC",R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
51,2018,61092,"Stream Energy Illinois, LLC",R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
