,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2018,97,Adams Electric Coop,IL,47,47
1,2018,1325,City of Batavia - (IL),IL,22,.
2,2018,3806,"Clinton County Elec Coop, Inc",IL,37,0
3,2018,3931,Coles-Moultrie Electric Coop,IL,48,0
4,2018,4110,Commonwealth Edison Co,IL,"5,596",164
5,2018,4362,Corn Belt Energy Corporation,IL,144,81
6,2018,5535,Egyptian Electric Coop Assn,IL,68,64
7,2018,5585,Eastern Illinois Elec Coop,IL,76,76
8,2018,6417,City of Flora - (IL),IL,12,10
9,2018,7096,City of Geneva- (IL),IL,33,0
10,2018,8573,City of Highland,IL,17,.
11,2018,8824,M J M Electric Cooperative Inc,IL,41,41
12,2018,9209,Illinois Rural Electric Coop,IL,69,69
13,2018,9750,"Jo-Carroll Energy, Inc",IL,104,104
14,2018,12341,MidAmerican Energy Co,IL,115,0
15,2018,12395,Menard Electric Coop,IL,53,33
16,2018,12803,"Monroe County Elec Coop, Inc",IL,34,0
17,2018,13032,Mt Carmel Public Utility Co,IL,15,6
18,2018,13208,City of Naperville - (IL),IL,117,117
19,2018,13292,Norris Electric Coop,IL,110,.
20,2018,14840,City of Peru - (IL),IL,20,13
21,2018,15388,City of Princeton - (IL),IL,15,7
22,2018,15686,Village of Rantoul - (IL),IL,39,39
23,2018,16179,Rochelle Municipal Utilities,IL,24,6
24,2018,16196,Rock Energy Cooperative,IL,21,15
25,2018,16420,Rural Electric Conven Coop,IL,28,0
26,2018,16740,Scenic Rivers Energy Coop,IL,4,.
27,2018,17040,"Shelby Electric Coop, Inc",IL,62,0
28,2018,17585,"Southeastern IL Elec Coop, Inc",IL,131,1
29,2018,17631,Southern Illinois Elec Coop,IL,43,0
30,2018,17697,Southwestern Electric Coop Inc - (IL),IL,84,.
31,2018,17828,City of Springfield - (IL),IL,124,124
32,2018,17860,City of St Charles - (IL),IL,48,0
33,2018,18955,"Tri-County Electric Coop, Inc",IL,87,87
34,2018,20222,Wayne-White Counties Elec Coop,IL,67,0
35,2018,20824,Village of Winnetka - (IL),IL,13,0
36,2018,56697,Ameren Illinois Company,IL,"2,925",0
