Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2021,554,City of Ames - (IA),IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,N,,,Y,Y
2021,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,571,City of Amory,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,577,City of Alcoa Utilities,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,590,City of Anaheim - (CA),CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,N,Y,Y,Y,,Y,Y,Y,Y,Y
2021,604,City of Andalusia,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2021,636,City of Anderson - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,N,,
2021,659,American Transmission Co,WI,Transmission,,,,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,N,
2021,689,Connexus Energy,MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,
2021,690,City of Bardstown - (KY),KY,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,N,,,,
2021,691,City of Anoka,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,N,,,,Y,,,,,N,N
2021,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,
2021,719,Town of Apex- (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2021,727,Appalachian Electric Coop,TN,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,733,Appalachian Power Co,OH,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,Y,N,Y,,,Y,Y
2021,750,Arab Electric Coop Inc,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,,,Y,,,N,N
2021,798,Arizona Power Authority,AZ,State,WECC,,,,,,,,Y,,,,,,,,Y,,,N,,,Y,,,,
2021,803,Arizona Public Service Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,Y,Y,,Y,Y,Y,,,Y,Y
2021,807,Arkansas Electric Coop Corp,AR,Cooperative,SPP,,,,,,,Y,,,,,,Y,Y,,,Y,Y,Y,,,Y,,,N,
2021,814,Entergy Arkansas LLC,AR,Investor Owned,SERC,,,,,,Y,,,,,,,,Y,,,Y,Y,Y,Y,Y,,,,Y,Y
2021,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,SERC,,,,,N,N,Y,,,,,,N,N,,Y,,,,Y,,,,,N,
2021,924,"Associated Electric Coop, Inc",MO,Transmission,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,
2021,944,City of Athens - (AL),AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,947,Athens Utility Board,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,963,Atlantic City Electric Co,NJ,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,Y,Y,N,Y,N,N,Y,Y
2021,970,Homefield Energy,TX,Retail Power Marketer,RFC,,,,,Y,,,,,,Y,,,Y,,,,,,,,Y,Y,,,
2021,994,City of Auburn - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,,
2021,1009,City of Austin - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,N,N,,Y,N,,Y,Y,,
2021,1015,Austin Energy,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,N,Y,,Y,Y,,Y,Y
2021,1050,City of Azusa,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,Y,N,Y,Y,Y
2021,1149,Baldwin County El Member Corp,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2021,1167,Baltimore Gas & Electric Co,MD,Investor Owned,RFC,,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,Y,Y
2021,1169,Bailey County Elec Coop Assn,TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2021,1175,"Bandera Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,,Y,,,,,Y,Y
2021,1179,Versant Power,ME,Investor Owned,NPCC,,,,Y,,,,,,,,,,,Y,,N,Y,,Y,,,,,Y,Y
2021,1196,Village of Baraga - (MI),MI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2021,1251,Barron Electric Coop,WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2021,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2021,1283,Bartholomew County Rural E M C,IN,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,N,
2021,1300,City of Bartow - (FL),FL,Municipal,FRCC,N,Y,,,,,,,,,,,,,,,,,,Y,,,,,,
2021,1307,Basin Electric Power Coop,ND,Cooperative,SPP,,,Y,,,,Y,Y,,,,,Y,Y,,,Y,Y,Y,Y,,Y,,N,Y,Y
2021,1325,City of Batavia - (IL),IL,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,N,,Y,,,,,,
2021,1366,City of Bay City - (MI),MI,Municipal,RFC,,,,,Y,,,,,,N,,,Y,,,Y,,Y,Y,,N,,,,
2021,1456,Town of Bedford - (VA),VA,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,Y,,Y,Y,,,,,N,
2021,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,N,,N,
2021,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,Y,Y
2021,1572,Badger Power Marketing Authority,WI,Wholesale Power Marketer,RFC,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2021,1578,Benton County,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1579,PUD No 1 of Benton County,WA,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
2021,1581,City of Benton - (AR),AR,Municipal,SERC,,,,,,Y,,,,,,,,Y,,N,,,,Y,,,,,N,
2021,1582,City of Benton - (KY),KY,Municipal,SERC,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1586,City of Bentonville - (AR),AR,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,,N,N,Y,,,,,N,
2021,1591,"Big Country Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,Y,,N,Y,,,Y,,,Y,,N,,Y,,,,,N,N
2021,1611,"Messer Energy Services, Inc.",NJ,Retail Power Marketer,RFC,,,,Y,Y,Y,,,,,Y,Y,,Y,Y,,,,,,,,Y,,,
2021,1613,Berkeley Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1625,Benton Rural Electric Assn,WA,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,Y,,Y,,,,,,
2021,1640,City of Bessemer Utilities,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1692,Big Rivers Electric Corp,KY,Cooperative,SERC,N,,,,N,Y,,,,,,,,Y,,,,Y,Y,,,Y,,,,
2021,1708,Big Sandy Rural Elec Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,
2021,1723,"Big Bend Electric Coop, Inc",WA,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2021,1738,Bonneville Power Administration,OR,Federal,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,N,,Y,,,Y,Y
2021,1763,"Black River Electric Coop, Inc - (SC)",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2021,1764,Black Diamond Power Co,WV,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,
2021,1769,"Black Hills Electric Coop, Inc",SD,Cooperative,WECC,,,,,,,N,Y,,,,,Y,,,,,N,Y,Y,,,,,,
2021,1775,Black River Electric Coop - (MO),MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,N,
2021,1776,City of Black River Falls,WI,Municipal,MISO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,,Y,Y
2021,1780,Black Warrior Elec Member Corp,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,N,Y,,,,,,
2021,1857,Block Island Utility District,RI,Political Subdivision,NPCC,,,,Y,,,,,,,,,,,Y,N,Y,N,,Y,,,,,N,
2021,1884,BENCO Electric Cooperative,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2021,1886,Blue Grass Energy Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,Y,Y
2021,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,Y,Y
2021,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1891,Blue Ridge Mountain EMC - (GA),GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,,Y,Y
2021,1896,City of Bluffton - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,N,N,,,Y,,,,Y,N,
2021,1936,Bolivar Energy Authority,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,1997,City of Boscobel - (WI),WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2021,2001,Boone Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2021,2008,City of Boulder City - (NV),NV,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,Y,Y,Y
2021,2010,City of Bountiful,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,
2021,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,Y,,Y,Y,,Y,,,
2021,2054,City of Bowling Green - (OH),OH,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,Y,N,N
2021,2056,City of Bowling Green - (KY),KY,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,2089,Bozrah Light & Power Company,CT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,,Y,,,,,Y,Y
2021,2144,Town of Braintree - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,N,N,Y,Y,Y
2021,2152,Powerex Corporation,CN,Wholesale Power Marketer,WECC,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,
2021,2172,Brazos Electric Power Coop Inc,TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,,,,,,,
2021,2194,City of Brenham - (TX),TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,Y,Y
2021,2212,"Broad River Electric Coop, Inc",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,N,,,Y,,,,,,
2021,2247,City of Bristol - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,2248,Bristol Virginia Utilities,VA,Municipal,SERC,,,,,N,Y,,,,,,,,,,,,,,Y,,,,Y,N,N
2021,2273,Brodhead Water & Lighting Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2021,2285,City of Brookings - (SD),SD,Municipal,MRO,,,Y,,,,,,,,,,Y,N,,,,,,Y,,,,,,
2021,2394,Burke-Divide Electric Coop Inc,ND,Cooperative,MRO,,,N,,,,Y,,,,,,,,,N,,Y,,Y,,,,,,N
2021,2409,Brownsville Public Utilities Board,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,Y,,Y,,
2021,2411,City of Brownsville,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,2442,City of Bryan - (TX),TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,Y,,,,
2021,2481,Cargill Power Markets LLC,MN,Wholesale Power Marketer,MRO,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,N,,,
2021,2487,City of Buford,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,Y,,
2021,2502,"Buckeye Rural Elec Coop, Inc",OH,Cooperative,RFC,N,,,,Y,,,,,,Y,,,,,,,,N,Y,N,,,,N,
2021,2507,City of Burbank Water and Power,CA,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2021,2548,City of Burlington Electric - (VT),VT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,,,Y,Y
2021,2651,Butler Rural Electric Coop Inc - (OH),OH,Cooperative,RFC,,,,,Y,,,,,,Y,,,N,,,,,,Y,,,,,Y,Y
2021,2652,Butler County Rural Elec Coop - (IA),IA,Cooperative,MRO,,,Y,,,,,,,,,,Y,,,N,,,,Y,,,,,,
2021,2678,C & L Electric Coop Corp,AR,Cooperative,SPP,,,,,,N,Y,,,,,,Y,,,,,,,Y,,,,,,
2021,2774,CMS Electric Coop Inc,KS,Cooperative,SPP,,,,,,,Y,,,,,,,,,Y,,,,Y,,,,,N,
2021,2812,City of Calhoun - (GA),GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,N,,,Y,,,Y,Y,,
2021,2830,Calpine Power America LLC,TX,Retail Power Marketer,TRE,N,,,,,,,,Y,Y,,,,,Y,,,,Y,,Y,,Y,,,
2021,2849,Central Electric Power Assn - (MS),MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,2857,Calpine Energy Services LP,TX,Wholesale Power Marketer,,N,N,N,N,N,N,N,N,,,,,,,,,,,Y,,,Y,,,,
2021,2903,Canoochee Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2021,2911,"Canadian Valley Elec Coop, Inc",OK,Cooperative,SPP,,,,,,,N,,,,,,,,,,,,,Y,,,,,,
2021,2960,"Caney Fork Electric Coop, Inc",TN,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,2985,"Capital Electric Coop, Inc",ND,Cooperative,MRO,,,N,,,,Y,,,,,,N,,,Y,,N,,Y,,,,,Y,Y
2021,3046,Duke Energy Progress - (NC),NC,Investor Owned,SERC,N,,,,,Y,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,Y,Y
2021,3075,Carroll County - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,3081,Carroll Electric Member Corp - (GA),GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2021,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,SPP,,,,,,,Y,,,,,,Y,Y,,,,N,,Y,,,,,Y,Y
2021,3107,Carteret-Craven El Member Corp,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,Y,Y,,,,N,,
2021,3108,City of Cartersville - (GA),GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,3113,City of Carthage - (MO),MO,Municipal,SPP,,,Y,,,,Y,,,,,,Y,N,,,Y,,Y,Y,,,,,N,
2021,3203,Cedar Falls Utilities,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,,Y,N,N
2021,3205,Cedar-Knox Public Power Dist,NE,Political Subdivision,MRO,,,Y,,,,,,,,,,Y,,,,,,,Y,,,,,Y,Y
2021,3208,Cedarburg Light & Water Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2021,3216,City of Celina - (OH),OH,Municipal,RFC,N,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,,
2021,3222,Central Alabama Electric Coop,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2021,3226,"Central Rural Electric Cooperative, Inc",OK,Cooperative,,,,,,,N,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2021,3236,"Central Electric Coop, Inc - (SD)",SD,Cooperative,MRO,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2021,3240,Central Electric Coop Inc - (OR),OR,Cooperative,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
2021,3242,Central Electric Power Coop - (MO),MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,N,Y,,,,,,,,
2021,3245,"Central Florida Elec Coop, Inc",FL,Cooperative,FRCC,,Y,,,,,,,,,,,,,,Y,,N,,Y,,,,,,
2021,3248,Central Georgia El Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,3249,Central Hudson Gas & Elec Corp,NY,Investor Owned,NPCC,,,,Y,,,,,,,,Y,,,,,Y,Y,,Y,,Y,,Y,Y,Y
2021,3250,Central Electric Membership Corp. - (NC),NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,3255,California Dept. of Water Resources,CA,State,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,N,,,Y,,Y,Y,Y
2021,3258,Central Iowa Power Cooperative,IA,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,
2021,3264,Central Lincoln People's Ut Dt,OR,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,Y,Y
2021,3265,Cleco Power LLC,LA,Investor Owned,SPP,,,,,,,Y,,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,,N,
2021,3266,Central Maine Power Co,ME,Investor Owned,NPCC,,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,,,,,Y,Y
2021,3268,Central Missouri Elec Coop Inc,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2021,3271,Central Nebraska Pub P&I Dist,NE,Political Subdivision,MRO,,,Y,,,,,,,,,,Y,,,,Y,Y,,,,,,,,
2021,3273,"Central New Mexico El Coop, Inc",NM,Cooperative,WECC,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2021,3278,AEP Texas Central Company,OK,Investor Owned,TRE,Y,,,,,,,,,Y,,,,,,,N,Y,Y,Y,,N,,,Y,Y
2021,3279,"Central Power Elec Coop, Inc",ND,Cooperative,MRO,,,Y,,,,N,,,,,,Y,Y,,N,,Y,Y,Y,,,,,,
2021,3282,"Central Texas Elec Coop, Inc",TX,Cooperative,,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,,
2021,3287,"Central Valley Elec Coop, Inc",NM,Cooperative,SPP,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,
2021,3291,Central Virginia Electric Coop,VA,Cooperative,SERC,,,,,N,Y,,,,,Y,,,,,,N,,,Y,,,,,Y,Y
2021,3295,City of Centralia - (WA),WA,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,N,Y,Y,,N,N,,,
2021,3329,Borough of Chambersburg,PA,Municipal,RFC,N,,,,Y,,,,,,Y,,,,,,Y,,,Y,,,,,,
2021,3355,City of Chanute,KS,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,Y,N,Y,Y,,,,,,
2021,3400,City of Chaska - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2021,3408,City of Chattanooga - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,3413,PUD No 1 of Chelan County,WA,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2021,3426,Cherokee Electric Coop,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,N,,,Y,,,,,,
2021,3436,Cherryland Electric Coop Inc,MI,Cooperative,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2021,3461,Cheyenne Light Fuel & Power,SD,Investor Owned,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,Y
2021,3470,Cherokee County Elec Coop Assn,TX,Cooperative,TRE,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,
2021,3475,City of Chickamauga,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,3477,City of Chicopee - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,,,Y,Y
2021,3478,Cimarron Electric Coop,OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,N,N
2021,3502,"Choctawhatche Elec Coop, Inc",FL,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2021,3503,"Choptank Electric Cooperative, Inc",MD,Cooperative,RFC,,,,,N,,,,,,Y,,,,,,,,,Y,N,,Y,,Y,Y
2021,3519,Central Minnesota Municipal Power Agency,MN,Political Subdivision,MRO,,,Y,,,,,,,,,,,Y,,,,Y,Y,,,Y,,N,N,N
2021,3522,Chugach Electric Assn Inc,AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,Y,Y
2021,3527,Choctaw Electric Coop Inc,OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,N,
2021,3542,Duke Energy Ohio Inc,OH,Investor Owned,RFC,N,,,N,Y,,,,,,Y,,,N,,,N,N,Y,N,,Y,,N,Y,Y
2021,3597,Citizens Electric Co - (PA),PA,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2021,3600,Citizens Electric Corporation - (MO),MO,Cooperative,SERC,,,,,N,Y,,,,,,,,Y,,,,N,Y,Y,N,,,,,
